STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2019,23.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2020,27.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2021,24.7,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2022,21.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,1999,39.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,2000,33.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,2001,31.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,2002,32.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,2003,29.6,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,2004,30.1,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FR,2005,31.7,b
